Subject,Predicate,Object
PhysiochemicalParameters,hasOxygenContent,float
EukaryoticOrganism,isBehaviorAffectedBy,CarbonateDissortation
MicrobialCommunity,comparedTo,AbovegroundEnvironment
Mineral,hasMineralDensity,float
TraceGas,hasTraceGasConcentration,float
SamplingMethod,hasSampleID,string
RechargeRate,hasRechargeRateValue,float
PhysiochemicalParameters,changesWith,AquiferSupply
ChemicalComposition,hasChemicalConcentration,float
Groundwater,hasChemicalConcentration,float
SoilChemistry,hasSoilMoistureContent,percentage
MicrobialCommunityStructure,hasCommunityDiversityIndex,float
PhysiochemicalParameters,hasTemperature,decimal
PhysiochemicalParameters,hasTemperature,float
Groundwater,hasTemperature,decimal
Groundwater,hasTemperature,float
CarbonateDissortation,affectsBehaviorOf,EukaryoticOrganism
ManagementPractice,hasManagementEffectivenessScore,float
SoilOrganicMatter,hasOrganicMatterContent,percentage
MicrobialCommunity,hasCellCount,integer
SamplingMethod,hasSamplingLocation,string
ChemicalComposition,hasAquiferWith,aquifer
SamplingMethod,hasSamplingDate,date
PhysiochemicalParameters,hasConductivityValue,float
GroundwaterChemistry,hasPHLevel,float
WaterFlow,hasWaterFlowSpeed,float
SubsurfaceEcosystem,isInstructedBy,Peptide
PristineAquifer,isDominatedIn,BiogeochemicalProcess
aquifer,isPresentIn,aquifer
MicrobialBiosample,isModeledAfter,GroundwaterMicroorganism
MicrobialSpecies,hasHabitatDistribution,aquifer
GroundwaterPrecipitation,hasAnnualRainfall,float
NitrogenCycle,hasNitrogenLevel,float
DOCComposition,hasDOCConcentration,float
AquiferSupply,hasChangedBy,PhysiochemicalParameters
SamplingMethod,hasSamplingTemperature,float
PhysiochemicalParameters,hasPHValue,float
SamplingMethod,hasComparison,EnvironmentalStudy
MicrobialCommunity,hasMicrobialCommunityID,string
aquifer,hasDominantFunctionalGuild,MicrobialFunctionalGuild
Precipitation,hasPrecipitationDate,date
SamplingMethod,hasSamplingDepth,float
GroundwaterVelocity,hasGroundwaterVelocityValue,float
RareSpeciesBiodiversity,hasSpeciesCount,positiveInteger
GeochemicalProcess,hasCarbonIsotopeRatio,float
