Subject,Predicate,Object
PhysiochemicalParameters,hasOxygenContent,float
EukaryoticOrganism,isBehaviorAffectedBy,CarbonateDissortation
MicrobialCommunity,comparedTo,AbovegroundEnvironment
aquifer,hasAquiferID,string
GroundwaterContamination,hasGroundwaterContaminationLevel,float
SamplingMethod,hasSampleID,string
RechargeRate,hasRechargeRateValue,float
PhysiochemicalParameters,changesWith,AquiferSupply
ChemicalComposition,hasChemicalConcentration,float
PhysiochemicalParameters,hasDOValue,float
MicrobialCommunityStructure,hasCommunityDiversityIndex,float
CarbonateDissortation,affectsBehaviorOf,EukaryoticOrganism
MicrobialCommunity,hasCellCount,integer
SamplingMethod,hasSamplingLocation,string
ChemicalComposition,hasAquiferWith,aquifer
SamplingMethod,hasSamplingDate,date
MicrobialFunctionalGuild,isDominantFunctionalGuildOf,aquifer
PhysiochemicalParameters,hasConductivityValue,float
AbovegroundEnvironment,isComparedTo,MicrobialCommunity
MicrobialBiosample,isModeledAfter,GroundwaterMicroorganism
SubsurfaceEcosystem,isInstructedBy,Peptide
PristineAquifer,isDominatedIn,BiogeochemicalProcess
aquifer,hasDominantFunctionalGuild,MicrobialFunctionalGuild
aquifer,isPresentIn,aquifer
PhysiochemicalParameters,hasTemperature,float
MicrobialSpecies,hasHabitatDistribution,aquifer
Precipitation,hasPrecipitationValue,float
MicrobialCommunity,hasNitrogenContent,float
aquifer,isHabitatDistributionFor,MicrobialSpecies
DOCComposition,hasDOCConcentration,float
MicrobialDiversity,hasBiodiversityIndex,float
AquiferSupply,hasChangedBy,PhysiochemicalParameters
SamplingMethod,hasSamplingTemperature,float
GeochemicalProcess,hasCarbonIsotopeRatio,float
PhysiochemicalParameters,hasPHValue,float
PhysiochemicalParameters,hasConductivity,float
SamplingMethod,hasComparison,EnvironmentalStudy
MicrobialCommunity,hasMicrobialCommunityID,string
Precipitation,hasPrecipitationDate,date
SamplingMethod,hasSamplingDepth,float
GroundwaterVelocity,hasGroundwaterVelocityValue,float
GeochemicalProcess,hasDenitrificationRate,float
aquifer,inAquiferWith,ChemicalComposition
GroundwaterProtection,isUsedFor,SamplingMethod
